item_id,name_en,category,subcategory,rarity,buy_price,sell_price,carry_limit,points,icon_name,icon_color,description_en
1,Potion,item,,1,66,8,10,,Liquid,Green,Restores a small amount of health.
2,Mega Potion,item,,2,,16,10,,Liquid,Green,Restores a moderate amount of health.
3,Max Potion,item,,3,,210,2,,Pellets,Gold,Fully restores health and maximizes the size of your Health Gauge.
4,Ancient Potion,item,,5,,345,1,,Pellets,Gold,Fully restores health and maximizes the size of your Health and Stamina Gauges.
5,Antidote,item,,1,60,6,10,,Liquid,Blue,A cure for poison.
6,Herbal Medicine,item,,2,,25,5,,Pellets,Blue,Removes all traces of poison and restores a slight amount of health.
7,Nulberry,item,,2,,120,10,,Seed,Blue,A mysterious berry that cures various blights.
8,Energy Drink,item,,2,,6,10,,Liquid,Yellow,"A Guild-approved beverage that boosts your stamina. Helps shake off sleep, too!"
9,Ration,item,,1,,3,10,,Meat,DarkBeige,Food that restores a bit of stamina.
10,Rare Steak,item,,1,,3,10,,Meat,DarkBeige,Provides a moderate boost to your stamina. This one's still red in the middle.
11,Well-done Steak,item,,2,,48,10,,Meat,Beige,Provides a moderate boost to your stamina and keeps it at max for a longer period. Meat done right!
12,Burnt Meat,item,,1,,1,10,,Meat,Gray,Provides a small boost to your stamina. Can be eaten quickly.
13,Cool Drink,item,,1,300,30,5,,Liquid,White,Provides temporary relief from extreme heat.
1059,Hot Drink,item,,1,,25,5,,Liquid,DarkRed,Provides temporary relief from extreme cold.
14,Nutrients,item,,2,,25,5,,Liquid,Cyan,Very slightly increases your maximum health level.
15,Mega Nutrients,item,,3,,92,5,,Liquid,Cyan,Slightly increases your maximum health level.
16,Immunizer,item,,3,,92,10,,Liquid,Beige,Boosts your natural ability to heal.
17,Astera Jerky,item,,2,98,10,5,,Meat,Pink,"Juicy, dried meat made by Astera's chef. Boosts natural healing and cures bleeding."
18,Dash Juice,item,,2,,29,5,,Liquid,Gold,Dulls one's sense of exhaustion. Reduces stamina depletion for a time.
19,Might Seed,item,,2,,140,10,,Seed,Red,Temporarily strengthens your attacks when ingested by improving energy flow.
20,Demondrug,item,,4,,67,5,,Liquid,Red,Boosts your attack power by filling you with—guess what?—demonic strength.
21,Mega Demondrug,item,,5,,283,5,,Liquid,Red,Boosts your attack power even more than a regular Demondrug.
22,Might Pill,item,,4,,280,5,,Pellets,Red,Temporarily endows you with the strength of a mighty god. Potent!
23,Adamant Seed,item,,2,,110,10,,Seed,Beige,Temporarily raises your defense when ingested by hardening tissue.
24,Armorskin,item,,4,,58,5,,Liquid,Beige,Boosts your defense by turning your skin as hard as rock.
25,Mega Armorskin,item,,5,,269,5,,Liquid,Beige,Boosts your defense even more than a regular armorskin.
26,Adamant Pill,item,,4,,260,5,,Pellets,Beige,Temporarily makes your skin as hard as adamant. Potent!
27,Lifepowder,item,,4,,190,3,,Sac,LightBeige,Produces a healing cloud in the area around the user.
1060,Dust of Life,item,,6,,690,2,,Sac,LightBeige,Produces a cloud in the area around the user with strong healing properties.
28,Herbal Powder,item,,4,,315,3,,Sac,Blue,A mysterious powder that produces a cloud around the area that restores health and neutralizes poison.
