monster_id,name_en,ecology_en,size,pitfall_trap,shock_trap,vine_trap,description_en
1,Aptonoth,,small,,,,"Docile herbivores that graze in packs. Their meat is considered a delicacy and is rich in nutrients. If one member of the herd is attacked, the rest will flee immediately."
2,Jagras,,small,,,,"Members of the Great Jagras pack, these smaller monsters will flee upon seeing one of their own perish. They're also known for ambushing larger monsters at a moment's notice."
3,Mernos,,small,,,,"Wingdrakes that feast on scatternuts. The flock will travel great distances when startled, making them an invaluable mode of transportation for clever hunters."
4,Vespoid,,small,,,,"Insects that paralyze their targets with their long stingers. They break easily, so attack them with poison or slinger ammo if you want to carve them."
5,Mosswine,,small,,,,"Mosswine are known for their excellent sense of smell, and are often found foraging for fungi. If you're hunting around for mushrooms, follow the Mosswine to the motherlode."
6,Apceros,,small,,,,"Herbivores that inhabit the Wildspire Waste. They've developed particularly hard hide to ward off attackers, and are known to gather in groups to defend themselves."
7,Kestodon,,small,,,,"Female Kestodon will alert the pack of danger, while the males will violently charge would-be threats. Their rushing charges can be blocked, however, leaving them open to attacks."
8,Noios,,small,,,,"Wingdrakes that will produce a sound similar to screamer pods when startled. Use meat to get their attention, and then hunt them for materials, or use them as transportation."
9,Gajau,,small,,,,Vicious piscine that form groups to defend their territory from intruders. Be sure not to venture too closely to their habitat!
10,Kelbi,,small,,,,Small herbivores known for their gentle demeanor and the medicinal properties of their horns. Those wishing to harvest a horn should aim for the head when attacking them.
11,Raphinos,,small,,,,"Wingdrakes inhabiting the Coral Highlands. They group up to steal the eggs of other animals, but this in turn exposes them to the attention of larger, more vicious predators."
12,Shamos,,small,,,,"Small nocturnal monsters. They're particularly vulnerable to Tzitzi-Ya-Ku's blinding flash, but have been known to gang up on enemies."
13,Girros,,small,,,,"Monsters that are known to attack in packs, using the deadly vapor of the Rotten Vale to their advantage. They're known for crippling targets with their paralyzing fangs."
14,Hornetaur,,small,,,,Small insects that are found primarily on land. They're highly territorial and will attack anything that approaches them. Gather their materials by attacking them with the slinger.
15,Gastodon,,small,,,,"Pack monsters that inhabit the Elder's Recess. They are easily angered by intruders, and will charge at monsters twice their size."
16,Barnos,,small,,,,"Fervid wingdrakes that have flourished under harsh living conditions. They target intruders with a unique acidic agent, and then attack as a swarm."
101,Popo,,small,,,,"Long-furred herbivores native to the tundra. Gentle in nature, they flee when attacked, though grown males will defend their young."
102,Anteka,,small,,,,"Herbivores of the tundra that are slightly more aggressive than Kelbi, using their horns to fend off any attackers."
103,Wulg,,small,,,,"Miniature fanged wyverns of the Hinterlands. They doggedly stalk prey as a pack, and will attack even foes much larger than they."
104,Cortos,,small,,,,"A wingdrake from the Hinterlands. Usually not aggressive, but may attack hunters in a bind. Its breath lowers elemental resistance."
100,Gajalaka,,small,,,,Small monsters wearing tribal masks.
141,Boaboa,,small,,,,"The Boaboa have the basic shape of a Grimalkyne, but exhibit much thicker, white fur and a bulkier frame. They wear crude imitations of Popo heads as masks, with the tusk's tips painted in colours that correspond to the status ailment each individual Boaboa uses in combat."
17,Great Jagras,Fanged Wyvern,large,TRUE,TRUE,TRUE,"The pack leader of the Jagras. When hungry, Great Jagras are known to attack monsters even stronger than themselves. It balloons to unbelievable proportions after swallowing prey."
18,Kulu-Ya-Ku,Bird Wyvern,large,TRUE,TRUE,TRUE,An odd bird wyvern that has developed limbs capable of carrying weapons. It's been spotted stealing eggs from nests found in the Ancient Forest and Wildspire Waste.
19,Pukei-Pukei,Bird Wyvern,large,TRUE,TRUE,TRUE,"A bird wyvern known to possess poisonous toxins in its body. It's been spotted storing scatternuts in its mouth or tail, coating them with poison and spitting them out at threats."
20,Barroth,Brute Wyvern,large,TRUE,TRUE,TRUE,"Barroth seek out ants, their favorite snack, and mark their territory with mud. They attack potential rivals with their devastating charging attack."
21,Jyuratodus,Piscine Wyvern,large,TRUE,TRUE,TRUE,"A large piscine wyvern that inhabits the swamps of the Wildspire Waste. It uses mud to capture prey, and it's known to battle Barroth over territory."
22,Tobi-Kadachi,Fanged Wyvern,large,TRUE,TRUE,TRUE,A fanged wyvern that flies among the trees of the Ancient Forest. Its penchant to brush against the ground and the trees as it moves around builds up static electricity within its fur.
23,Anjanath,Brute Wyvern,large,TRUE,TRUE,TRUE,"The Anjanath patrols the Ancient Forest, looking for its favorite meal, Aptonoth. This belligerent monster will attack anything without hesitation."
24,Rathian,Flying Wyvern,large,TRUE,TRUE,TRUE,"Wyverns known as the ""Queens of the Land."" Terrestrial predators, they overpower prey with their venomous tails and powerful legs."
25,Tzitzi-Ya-Ku,Bird Wyvern,large,TRUE,TRUE,TRUE,This odd monster blinds both prey and enemies with a special pulsing organ near its head. It then uses its strong legs to deliver finishing blows.
