quest_id,name_en,category,rank,stars,quest_type,location_en,zenny,objective_en,description_en
101,Jagras of the Ancient Forest,assigned,LR,1,hunt,Ancient Forest,720,Slay 7 Jagras,"Zorah Magdaros's appearance has brought about changes in the local ecosystem. Head into Jagras territory to investigate, and take them out if necessary."
102,A Kestodon Kerfuffle,assigned,LR,2,hunt,Ancient Forest,1200,Complete the assignment,Zorah Magdaros's appearance has driven a herd of Kestodon to new territory. We'll need you to go out and thin that herd of head-butters.
103,The Great Jagras Hunt,assigned,LR,2,hunt,Ancient Forest,1200,Hunt a Great Jagras,"Things I'm not interested in writing in my daily report: ""Researchers swallowed whole by Great Jagras."" Take it out before I actually have to write it!"
201,Bird-Brained Bandit,assigned,LR,2,hunt,Ancient Forest,1800,Hunt a Kulu-Ya-Ku,The Kulu-Ya-Ku uses its dexterous forearms to carry objects. Left unchecked it's liable to run off with crucial supplies. Step one of rebuilding a secure camp is hunting that thief!
205,Urgent: Pukei-Pukei Hunt,assigned,LR,3,hunt,Ancient Forest,2520,Hunt a Pukei-Pukei,That Pukei-Pukei is none too pleased to have that slag in its territory. It'll be even less pleased if we send in our scholars to research it. Looks like we have to put it down.
301,The Best Kind of Quest,assigned,LR,3,hunt,Wildspire Waste,2520,Complete the assignment,Something surely left by Zorah Magdaros was discovered out in the Wildspire Waste. Fifth Fleet hunters: Keep our scholars safe as you escort them out to investigate this new evidence.
302,Sinister Shadows in the Swamp,assigned,LR,3,hunt,Wildspire Waste,3240,Complete the assignment,A young scholar has gotten separated from his escort out in the Wildspire Waste. Find him and escort him back to base. Neutralize any large monsters that pose a threat.
305,Flying Sparks: Tobi-Kadachi,assigned,LR,3,hunt,Ancient Forest,3240,Hunt a Tobi-Kadachi,"Oh, my! That Tobi-Kadachi sure is getting in the way of progress! You hunters will never get a hold of these specialized tools I'm making if I become its dinner!"
306,The Encroaching Anjanath,assigned,LR,4,hunt,Ancient Forest,4320,Hunt an Anjanath,"As we're gearing up to capture Zorah Magdaros, we need to secure Astera as much as we can. It's too much of a risk to have that Anjanath roaming so close to base."
401,One for the History Books,assigned,LR,4,assignment,Great Ravine,4320,Complete the assignment,At dawn we'll attempt what no one in history has dared: Capture an elder dragon! Make your preparations and proceed to the site. May the Sapphire Star guide us all.
405,Ballooning Problems,assigned,LR,4,hunt,Coral Highlands,4320,Hunt a Paolumu,"...I'm sorry, I just retched thinking about that monster's face. Seriously, you'll be doing it a favor...and us too. Hunt it and the Airship Engineer will have everything he needs."
407,Radobaan Roadblock,assigned,LR,4,hunt,Rotten Vale,4320,Hunt a Radobaan,"The bones covering Radobaan's body are gonna be tough to get through, but if we want to continue our survey of the Rotten Vale, you'll need to find a way!"
408,Legiana: Embodiment of Elegance,assigned,LR,5,hunt,Coral Highlands,5400,Hunt a Legiana,"You already know how I feel about that intolerable creature. As long as it controls the skies in the highlands, we'll never be able to make our descent. Do take care of it, won't you?"
501,Into the Bowels of the Vale,assigned,LR,5,hunt,Rotten Vale,5400,Complete the assignment,"...... Certain death awaits you in the depths, but so does the key to finding Zorah Magdaros. A fair trade-off if you ask me."
502,A Fiery Throne Atop the Forest,assigned,LR,5,hunt,Ancient Forest,5400,Hunt a Rathalos,The First Wyverian's not gonna spill the beans about Zorah until we stand on top of the food chain. That means we gotta hunt us a Rathalos! ...Does that mean we have to eat it too?
503,Horned Tyrant Below the Sands,assigned,LR,5,hunt,Wildspire Waste,5400,Hunt a Diablos,The First Wyverian's not gonna spill the beans about Zorah until we stand on top of the food chain. That means we gotta hunt us a Diablos! ...Does that mean we have to eat it too?
